Target: Sat1

Observer: Boulder
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jun 2025 09:28:10.357    01 Jun 2025 09:35:03.442      413.08550992    
01 Jun 2025 19:38:11.270    01 Jun 2025 19:42:17.701      246.43172856    
01 Jun 2025 21:23:14.860    01 Jun 2025 21:26:54.158      219.29841070    
02 Jun 2025 08:29:41.629    02 Jun 2025 08:34:01.641      260.01142350    
02 Jun 2025 10:14:50.809    02 Jun 2025 10:18:25.065      214.25547071    
02 Jun 2025 20:21:50.211    02 Jun 2025 20:28:44.120      413.90857331    
03 Jun 2025 09:13:48.313    03 Jun 2025 09:20:46.005      417.69177737    
03 Jun 2025 19:25:32.573    03 Jun 2025 19:26:29.327      56.754406693    
03 Jun 2025 21:07:59.882    03 Jun 2025 21:13:18.258      318.37601841    


Number of events : 9


