Sat1.X                    Sat1.Y                    Sat1.Z                    Sat1.ElapsedDays          Sat1.RAAN                 Sat1.Earth.RMAG           
-1102.68                  7338.79                   0                         0                         98.545                    7421.17                   
-1044.07                  7334.41                   435.938                   0.000694444               98.545                    7421.17                   
-940.663                  7271.99                   1143.14                   0.00182737                98.545                    7421.15                   
-821.716                  7131.99                   1879.53                   0.00302594                98.5451                   7421.13                   
-693.359                  6915.83                   2600.6                    0.00423197                98.5453                   7421.09                   
-557.537                  6626.18                   3294.68                   0.00543909                98.5456                   7421.05                   
-415.75                   6266.14                   3954                      0.00664666                98.5461                   7421.01                   
-269.498                  5839.49                   4571.52                   0.00785469                98.5467                   7420.99                   
-120.325                  5350.69                   5140.69                   0.00906325                98.5475                   7420.99                   
30.1933                   4804.89                   5655.41                   0.0102723                 98.5485                   7421.02                   
180.463                   4207.8                    6110.19                   0.011482                  98.5497                   7421.09                   
328.887                   3565.74                   6500.14                   0.0126923                 98.551                    7421.22                   
473.884                   2885.5                    6821.03                   0.0139031                 98.5525                   7421.39                   
613.906                   2174.29                   7069.39                   0.0151144                 98.5541                   7421.64                   
747.451                   1439.72                   7242.5                    0.0163262                 98.5558                   7421.94                   
873.091                   689.588                   7338.45                   0.0175383                 98.5576                   7422.31                   
989.472                   -68.0542                  7356.19                   0.0187508                 98.5593                   7422.75                   
1095.35                   -825.101                  7295.48                   0.0199634                 98.5611                   7423.24                   
1189.57                   -1573.42                  7156.95                   0.0211762                 98.5628                   7423.79                   
1271.14                   -2304.99                  6942.1                    0.0223889                 98.5644                   7424.39                   
1339.17                   -3011.97                  6653.23                   0.0236015                 98.5659                   7425.01                   
1392.95                   -3686.8                   6293.46                   0.0248139                 98.5673                   7425.66                   
1431.89                   -4322.25                  5866.68                   0.0260261                 98.5684                   7426.31                   
1455.6                    -4911.55                  5377.49                   0.0272379                 98.5694                   7426.94                   
1463.82                   -5448.46                  4831.15                   0.0284492                 98.5702                   7427.55                   
1456.49                   -5927.28                  4233.55                   0.0296602                 98.5709                   7428.12                   
1433.68                   -6342.96                  3591.06                   0.0308707                 98.5713                   7428.62                   
1424.07                   -6452.44                  3394.77                   0.0312263                 98.5715                   7428.75                   
1413.76                   -6550.7                   3205.91                   0.0315632                 98.5715                   7428.88                   
1398.61                   -6670.42                  2956.31                   0.0320014                 98.5717                   7429.02                   
1356.73                   -6908.77                  2371.27                   0.0330023                 98.5718                   7429.32                   
1294.5                    -7125.75                  1657.33                   0.0341861                 98.5719                   7429.59                   
